,SHA_storage_af,SHA_outflow_cfs,SHA_inflow_cfs,ORO_storage_af,ORO_outflow_cfs,ORO_inflow_cfs,BUL_storage_af,BUL_outflow_cfs,BUL_inflow_cfs,FOL_storage_af,FOL_outflow_cfs,FOL_inflow_cfs,MHB_inflow_cfs,PAR_storage_af,PAR_outflow_cfs,PAR_inflow_cfs,CMN_storage_af,CMN_outflow_cfs,CMN_inflow_cfs,NHG_inflow_cfs,NHG_storage_af,NHG_outflow_cfs,NML_storage_af,NML_outflow_cfs,NML_inflow_cfs,DNP_storage_af,DNP_outflow_cfs,DNP_inflow_cfs,EXC_storage_af,EXC_outflow_cfs,EXC_inflow_cfs,MIL_storage_af,MIL_outflow_cfs,MIL_inflow_cfs,HRO_pumping_cfs,TRP_pumping_cfs,delta_outflow_cfs,CX2_CX2_km,SLF_storage_af,LUS_storage_af,PNF_storage_af,PNF_outflow_cfs,PNF_inflow_cfs,TRM_storage_af,TRM_outflow_cfs,TRM_inflow_cfs,SCC_storage_af,SCC_outflow_cfs,SCC_inflow_cfs,ISB_storage_af,ISB_outflow_cfs,ISB_inflow_cfs,total_inflow_cfs,total_reservoir_outflows_cfs,total_storage,delta_inflow_cfs,delta_gains_cfs,total_delta_pumping_cfs,HRO_pumping_pct,TRP_pumping_pct,total_delta_pumping_pct
0,2573159.0,5339.0,3177.0,1686994.0,3756.0,2015.0,625155.0,828.0,394.0,461917.0,1938.5,1243.0,10.5,468145.0,326.0,43.0,281945.0,326.0,373.5,6.0,126909.0,115.0,1480646.0,992.0,743.0,1472996.0,1443.5,58.0,442492.5,926.0,38.0,235854.5,1582.5,1192.0,2566.0,4055.0,4443.0,80.39,250930.0,460315.0,206781.0,371.0,177.0,10653.0,45.0,36.0,5993.0,30.0,6.0,118484.0,357.0,164.0,32683.04,18841.0,10934435.0,10422.5,-7514.0,6783.0,0.24604314242501657,0.29991818919559643,0.5336149970801817
1,2554148.0,5360.0,3069.0,1691963.0,3462.0,1768.0,624902.0,870.5,421.0,451760.0,1877.0,1238.0,10.5,464950.0,327.0,82.0,278840.0,327.0,438.0,8.0,126730.0,124.0,1478805.0,841.0,757.0,1440069.0,1291.0,210.0,439919.0,833.0,43.0,233575.0,1334.0,1111.5,2446.5,3649.0,4644.5,80.39,252658.0,463065.0,206961.0,340.0,183.0,10642.0,45.0,38.0,5936.0,33.0,7.0,118437.0,331.0,169.0,30809.0,18016.0,10917675.0,10503.5,-6478.0,5886.0,0.23777716048056685,0.30327655861604963,0.5240676365053649
2,2554555.0,5104.0,3008.0,1685403.0,3619.0,1679.0,624001.0,871.0,376.0,449297.0,1892.0,1055.5,10.0,463204.0,327.0,45.0,278840.0,327.0,399.5,11.0,126501.0,124.0,1477701.0,718.0,776.0,1439074.0,1168.0,49.0,438459.0,860.0,33.0,232652.0,1331.0,1168.5,1102.5,4046.5,4235.0,80.39,254568.0,464500.0,207269.0,330.0,201.0,10557.0,45.0,40.0,5901.0,32.0,8.0,118343.0,324.0,166.0,29399.04,18049.0,10894314.0,10470.0,-6319.5,4898.5,0.12975337450421975,0.3130623948094622,0.45830569487424966
3,2556178.0,5184.0,3010.0,1682878.0,3576.0,2105.0,622054.0,862.5,381.0,447150.0,2027.0,1020.0,10.0,463084.0,330.0,66.0,278840.0,330.0,476.5,10.0,126323.0,114.0,1476781.0,771.0,776.5,1437084.0,1339.0,181.0,437001.0,906.0,40.0,231575.0,1310.0,1180.0,1517.0,3988.5,4110.5,80.39,260593.0,469298.0,207345.0,330.0,202.0,10746.0,44.0,38.0,5855.0,36.0,7.0,118343.0,324.0,155.0,29424.02,18643.0,10869014.0,10301.5,-6718.5,4872.0,0.14907946462472121,0.29707629509872535,0.4559747113496436
4,2552725.0,5194.0,3140.0,1682878.0,3412.0,2035.0,620146.0,880.5,385.0,444928.0,1910.0,1009.0,10.0,463204.0,330.0,75.0,278590.0,330.0,456.0,8.0,126170.0,101.0,1477793.0,682.0,728.5,1436089.0,1364.0,66.0,435363.0,870.0,31.0,229889.0,1324.0,1058.0,1160.0,4027.0,4502.5,80.39,266144.0,473510.0,207217.0,325.0,157.0,10863.0,43.0,42.0,5793.0,34.0,7.0,118343.0,337.0,175.0,30884.02,18407.0,10840978.0,10220.0,-6733.5,5149.0,0.1205935066791882,0.2640682602264995,0.4537042635638972
5,2549880.0,5239.0,3379.0,1673732.0,3719.0,1870.0,618995.0,878.5,389.0,442559.0,1799.0,928.5,11.0,463324.0,330.0,65.0,278840.0,330.0,473.0,6.0,126018.0,100.0,1477149.0,701.0,708.5,1434102.0,1436.0,228.0,433989.0,929.0,41.0,229767.0,1363.0,969.5,1661.5,4017.0,4287.5,80.39,268051.0,474921.0,207115.0,266.0,152.0,10828.0,42.0,40.0,5799.0,31.0,6.0,118484.0,321.0,181.0,30261.0,18074.0,10814077.0,10311.5,-7348.5,4760.5,0.17345919227479883,0.264423816246564,0.4661382322358897
6,2546424.0,4875.0,3312.0,1672150.0,3656.0,2013.0,617881.0,889.0,392.0,440214.0,1871.0,963.0,12.5,463204.0,331.0,0.01,279330.0,331.0,445.5,10.0,125891.0,91.0,1476229.0,779.0,690.5,1432118.0,1216.0,125.0,432654.0,716.0,40.0,228943.0,1459.0,808.0,1223.5,4040.5,4292.0,80.39,270085.0,475197.0,206935.0,266.0,258.0,11025.0,41.5,45.0,5824.0,28.0,5.0,118578.0,301.0,185.0,30846.04,17639.0,10790198.0,10162.0,-6966.5,4468.5,0.14512927292278088,0.2661717482343119,0.44926572097368556
7,2542359.0,4953.0,3161.5,1671963.0,3480.0,2066.0,616193.0,890.0,407.0,437871.0,1896.0,1016.0,16.0,462904.0,331.0,43.0,279830.0,331.0,528.0,5.0,125764.0,89.0,1475861.0,835.0,649.0,1431126.0,1150.0,118.0,431137.0,853.0,47.0,228242.0,1328.0,1071.5,862.0,3705.5,4448.5,80.39,271592.0,479533.0,206858.0,267.0,174.0,11125.0,40.5,39.0,5765.0,28.0,12.0,118578.0,299.0,187.0,28227.04,18080.0,10768552.0,9874.5,-6384.5,4065.5,0.07536604380272084,0.28527396767541124,0.39815120261984654
8,2536057.0,5134.0,3183.5,1675223.0,3228.0,1767.0,615081.0,903.0,455.0,435455.0,1820.0,992.0,15.5,462964.0,328.0,38.0,280070.0,328.0,564.5,6.0,125663.0,80.0,1474664.0,880.0,662.5,1429144.0,1188.0,162.0,430029.0,836.0,40.0,227056.0,1251.0,1018.0,782.5,3658.0,4290.0,80.39,273390.0,483411.0,206730.0,260.0,206.0,11161.0,39.5,40.0,5716.0,29.0,9.0,118578.0,281.0,179.0,28406.02,17493.0,10747392.0,9917.0,-6058.5,4162.0,0.08231897616082423,0.29829358461593447,0.41932567619042194
9,2532024.0,4704.0,3185.0,1673267.0,3385.0,1960.0,613683.0,902.0,405.0,433568.0,1886.0,936.5,14.0,463144.0,327.0,19.0,280320.0,327.0,592.5,12.0,125739.0,72.0,1474388.0,714.0,653.5,1428154.0,970.0,7.0,428999.0,882.0,43.0,227117.0,1280.0,860.5,556.5,3592.5,4173.5,80.39,276540.0,481474.0,206449.0,260.0,191.0,11177.0,39.0,40.0,5727.0,32.0,8.0,118531.0,280.0,169.0,29338.0,17404.0,10728823.0,10175.0,-6458.0,3921.5,0.07105503407124063,0.31156622676362955,0.4034437492564752
