,Reservoir,P1,P2,P3
0,SHA,5.196040599679881,0.05559392612352321,1.265603437144732
1,ORO,5.957865089344978,0.046628254743043045,1.2166791995170487
2,BUL,2.9790414579701467,0.01194499687591441,1.383030875869314
3,FOL,7.392757661435577,0.0684190060777556,1.2170147814269554
4,PAR,3.8909859359441175,0.05914523366926349,1.3935410615644837
5,NHG,2.1089382270258423,0.027542431410163593,1.146802873036161
6,NML,6.650362120334612,0.030005092516341404,1.1772835091146157
7,DNP,4.205759553484393,0.036029212798335125,1.3227875017420558
8,EXC,5.3198164340302405,0.056005744753387245,1.3278366246849094
9,MIL,6.520372911951017,0.026282909522717703,1.3984165319581519
10,PNF,2.9158756374472783,0.08568389108476676,1.2987783490759346
11,TRM,5.975424757453002,0.09190872028385598,1.3420346421448546
12,SCC,5.606030288213731,0.02179258953551206,1.3333088499685128
13,ISB,0.49714766101721075,0.0748363108011878,1.3949715723321523
