,Reservoir,P1,P2,P3
0,SHA,7.029502990059352,0.07840765628385012,1.1253622584391676
1,ORO,8.46178048865903,0.06572324768401867,1.7123870324857429
2,BUL,3.324193692222316,0.04015927205699448,1.626820931870338
3,FOL,4.911691937665608,0.04583829837824661,1.90768127898636
4,PAR,6.963345944441375,0.056872918498305884,1.4149337597926608
5,NHG,3.264068528180685,0.044275180587435986,1.2896051445460706
6,NML,2.609547184594234,0.0448608915035263,1.3240557282965613
7,DNP,0.3158980528397457,0.039882775932231315,1.3509143906288952
8,EXC,5.516968469395462,0.03392450921200067,1.2787717669985605
9,MIL,5.906563616382136,0.03861479784122526,1.4952995130160829
10,PNF,4.387710596807153,0.05743125425962029,1.6545168392895215
11,TRM,0.5017765147596043,0.08896240091434858,1.876271629533605
12,SCC,2.3675754463716214,0.022529932904224503,1.8800715681025169
13,ISB,6.186168320803103,0.09119950076435848,1.9491491653217357
